"Plots","Species","Date","AboveGroundBiomass","MeanHeight","PercentCover"
"J","B. cernua",2021-05-10,43.4717640746385,4.00843852781691,96.4317037956789
"J","S. acutus",2021-05-10,40.5763582326472,0.207642144523561,65.7828069292009
"D","R. maritimus",2021-05-11,17.5126768415794,4.47547051473521,64.4315762910992
"D","B. cernua",2021-05-11,55.7159538846463,0.319042402552441,19.126010988839
"D","S. acutus",2021-05-11,52.9630602803081,4.20307277003303,75.8103052387014
"E","R. maritimus",2021-05-12,38.8905099825934,2.81391467899084,16.5453933179379
"E","B. cernua",2021-05-12,11.0360604943708,0.500704232836142,25.7621260825545
"E","S. acutus",2021-05-12,21.8645284883678,3.24789730249904,13.1442320533097
"F","R. maritimus",2021-05-13,68.9413412474096,4.66454914421774,6.44575387705117
"F","B. cernua",2021-05-13,57.8353944001719,1.23863416491076,10.9029268613085
"F","S. acutus",2021-05-13,42.8750370861962,1.58572335843928,25.7170021301135
"G","R. maritimus",2021-05-14,52.7310776989907,0.495845515979454,19.3309862399474
"G","B. cernua",2021-05-14,32.1492120390758,0.474289277335629,8.31138978246599
"G","S. acutus",2021-05-14,13.141653384082,0.881753568537533,31.2489656498656
"A","R. maritimus",2021-05-15,68.7022846657783,1.91193978535011,78.293276228942
"A","B. cernua",2021-05-15,99.1906094830483,2.46770653524436,47.7230065036565
"A","S. acutus",2021-05-15,65.1673766085878,0.539718129439279,43.8097107224166
"H","R. maritimus",2021-05-15,81.2305092345923,0.882260182406753,84.7882149508223
"H","B. cernua",2021-05-15,29.3605549028143,2.34625471173786,33.3277984522283
"H","S. acutus",2021-05-15,44.2592467181385,0.319012333638966,7.11540239863098
"B","R. maritimus",2021-05-16,51.8634263193235,1.73341744579375,12.1691921027377
"B","B. cernua",2021-05-16,45.9065726259723,1.94994771736674,64.2288258532062
"B","S. acutus",2021-05-16,76.6310670645908,1.99997184448875,41.0084082046524
"I","R. maritimus",2021-05-16,56.2176787760109,3.98418041993864,18.5069964500144
"I","B. cernua",2021-05-16,33.3520805696025,0.718134713824838,37.0357065927237
"I","S. acutus",2021-05-16,56.4263842999935,3.29910512897186,35.74057451915
"C","R. maritimus",2021-05-17,27.0260145887733,0.515921178739518,3.55405795853585
"C","B. cernua",2021-05-17,47.8118034312502,2.42174762184732,52.6027723914012
"C","S. acutus",2021-05-17,35.6726912083104,1.0377255664207,23.8868677755818
"J","R. maritimus",2021-05-17,49.4654526002705,0.362303167348728,36.6563616320491
"J","B. cernua",2021-05-17,51.4732652809471,3.69820872903802,44.2510108230636
"J","S. acutus",2021-05-17,8.53110058233142,1.46995899500325,57.8161916695535
"D","R. maritimus",2021-05-18,74.6698269620538,2.231176616624,74.1078648716211
"D","B. cernua",2021-05-18,32.8777319053188,1.67743745842017,88.6450943304226
"D","S. acutus",2021-05-18,7.52757457084954,4.2806583235506,72.4498892668635
"E","R. maritimus",2021-05-19,10.0873126182705,0.645784272346646,32.2168056620285
"E","B. cernua",2021-05-19,84.0507032116875,3.81611344753765,4.64608869515359
"E","S. acutus",2021-05-19,51.6796836396679,4.76677725557238,37.4486864544451
"F","R. maritimus",2021-05-20,55.4900623159483,2.35339248785749,75.4705621628091
"F","B. cernua",2021-05-20,91.0370304249227,2.49257265357301,38.1716351723298
"F","S. acutus",2021-05-20,13.2689975202084,1.38983014738187,18.1231822818518
"G","R. maritimus",2021-05-21,88.0319068906829,0.594512791140005,84.1351716779172
"G","B. cernua",2021-05-21,15.4831611318514,2.46298060403205,35.3884240612388
"G","S. acutus",2021-05-21,98.1563460314646,4.06717604259029,40.5689612729475
"A","R. maritimus",2021-05-22,38.4103718213737,4.34845422860235,55.3036311641335
"A","B. cernua",2021-05-22,38.0035179434344,0.931088007055223,73.23137386702
"A","S. acutus",2021-05-22,12.5555095961317,3.61855473020114,24.4797277031466
"H","R. maritimus",2021-05-22,78.2182115828618,2.71065212204121,8.22392308618873
"H","B. cernua",2021-05-22,39.9351106956601,0.859000411583111,83.7416569236666
"H","S. acutus",2021-05-22,15.6714132521302,3.92273114994168,70.2778743347153
"B","R. maritimus",2021-05-23,66.2005076417699,1.66887465398759,24.5488513959572
"B","B. cernua",2021-05-23,33.2394674187526,3.88660349417478,87.6269212691113
"B","S. acutus",2021-05-23,8.42469143681228,1.62676075939089,81.0870242770761
"I","R. maritimus",2021-05-23,92.8483226336539,4.15835857507773,95.4378136899322
"I","B. cernua",2021-05-23,86.4807550329715,4.62614967604168,78.1017540255561
"I","S. acutus",2021-05-23,65.6162315513939,1.5588618721813,74.7635063482448
"C","R. maritimus",2021-05-24,99.268406117335,2.23142174305394,64.2795492196456
"C","B. cernua",2021-05-24,92.4074469832703,0.867211674340069,98.5095223877579
"C","S. acutus",2021-05-24,43.1473690550774,1.14329071366228,25.8165926672518
"J","R. maritimus",2021-05-24,30.8052448788658,1.89379720250145,94.2505322396755
"J","B. cernua",2021-05-24,66.3010967662558,0.26074506691657,37.0272380299866
"J","S. acutus",2021-05-24,93.2571928249672,2.50425243633799,98.7101763952523
"D","R. maritimus",2021-05-25,10.4987640399486,3.89992444892414,60.5303446529433
"D","B. cernua",2021-05-25,45.3131445450708,3.61862973310053,50.3339485730976
"D","S. acutus",2021-05-25,27.7755932649598,1.95679640513845,94.3724818294868
"E","R. maritimus",2021-05-26,92.7302088588476,1.28183802007698,51.0125206550583
"E","B. cernua",2021-05-26,31.7963684443384,4.73983177333139,41.785625834018
"E","S. acutus",2021-05-26,26.8950592027977,4.76866325014271,63.1420228397474
"F","R. maritimus",2021-05-27,42.9624407785013,3.01794033846818,62.0410033036023
"F","B. cernua",2021-05-27,14.2604082124308,1.86433354043402,16.9310914585367
"F","S. acutus",2021-05-27,46.0096445865929,3.93770253867842,47.7313709678128
"G","R. maritimus",2021-05-28,37.3063371982425,0.252198297530413,71.9913988374174
"G","B. cernua",2021-05-28,13.2228172151372,2.30775920324959,96.9208805356175
"G","S. acutus",2021-05-28,32.7013726811856,0.342233185656369,99.6077371528372
"A","R. maritimus",2021-05-29,76.9841419998556,1.7017449834384,52.9719580197707
"A","B. cernua",2021-05-29,77.7445221319795,4.13686659303494,69.2731556482613
"A","S. acutus",2021-05-29,26.7220668727532,2.05637214821763,7.06790471449494
"H","R. maritimus",2021-05-29,26.7878128914163,1.92151946015656,88.6458750581369
"H","B. cernua",2021-05-29,81.2131523853168,1.8459473119583,27.6849841699004
"H","S. acutus",2021-05-29,58.2205270184204,2.09160817903467,69.882453721948
"B","R. maritimus",2021-05-30,40.6830187188461,2.38175622536801,14.330437942408
"B","B. cernua",2021-05-30,65.087046707049,4.80308998608962,77.8914677444845
"B","S. acutus",2021-05-30,87.5321330036968,3.78543574013747,60.4933290276676
"I","R. maritimus",2021-05-30,23.0466414242983,0.567538532195613,89.7848492022604
"I","B. cernua",2021-05-30,17.7194535732269,2.53517801291309,1.1149508645758
"I","S. acutus",2021-05-30,97.855406277813,1.75786704639904,79.2909023817629
"C","R. maritimus",2021-05-31,63.3493264438584,3.20050522568636,92.8615199634805
"C","B. cernua",2021-05-31,59.876096714288,3.77410472254269,50.7641822332516
"C","S. acutus",2021-05-31,14.8211560677737,2.97855998156592,72.9309623362496
"J","R. maritimus",2021-05-31,69.5012246258557,2.6893246138934,12.3723565135151
"J","B. cernua",2021-05-31,14.3166586523876,2.41084786597639,17.0243580127135
"J","S. acutus",2021-05-31,83.8384066708386,3.04874467547052,60.3792401496321
"D","R. maritimus",2021-06-01,86.4544949028641,4.40309517434798,90.3081611497328
"D","B. cernua",2021-06-01,50.0440972624347,1.68807666748762,87.7057543024421
"D","S. acutus",2021-06-01,21.2699519237503,1.90246942802332,54.7646587016061
"E","R. maritimus",2021-06-02,28.3232500310987,3.58967637992464,92.3968471353874
"E","B. cernua",2021-06-02,78.2851336989552,4.09317344194278,85.4001502273604
"E","S. acutus",2021-06-02,18.1168327340856,1.69989601708949,39.0078933676705
"F","R. maritimus",2021-06-03,45.2720062807202,2.42494840291329,16.9576766667888
"F","B. cernua",2021-06-03,41.5047625312582,4.67345685116015,29.8652542056516
"F","S. acutus",2021-06-03,94.2957059247419,3.51231256267056,77.0737042883411
"G","R. maritimus",2021-06-04,4.79591316543519,4.64626959874295,26.7212083097547
"G","B. cernua",2021-06-04,22.1305927727371,1.87608265434392,62.4714189674705
"G","S. acutus",2021-06-04,50.6939497077838,2.0022487337701,85.5082356370986
"H","R. maritimus",2021-06-05,76.2151529546827,3.38082025409676,47.1930730855092
"H","B. cernua",2021-06-05,7.71516691893339,3.62702636281028,58.7035141419619
"H","S. acutus",2021-06-05,97.0162178855389,4.90509042399935,46.396238100715
"I","R. maritimus",2021-06-06,22.1813754411414,4.81656008167192,94.3697054404765
"I","B. cernua",2021-06-06,49.331872863695,0.774255085270852,94.0308712190017
"I","S. acutus",2021-06-06,23.2161148451269,0.739228534512222,70.5859006382525
"J","R. maritimus",2021-06-07,82.2793305618688,0.525250693317503,7.00326792430133
"J","B. cernua",2021-06-07,34.4487393740565,4.6025892032776,5.41904293932021
"J","S. acutus",2021-06-07,87.9433296155185,1.32124524796382,6.49499187711626
